"countries","ac_own"
"AGO",0.0306435553331887
"BRA",0.0798438428850603
"CHL",0.00839783748751627
"CHN",0.438921651221567
"ETH",0.00626304801670146
"FRA",0.0856659996362131
"GHA",0.00829436540366262
"ITA",0.365763461322763
"KOR",0.693409118589654
"MEX",0.149318313732697
"RUS",0.0913084711842171
"USA",0.877894606664601
