"","countrycode","year","scenario","gdppc","gini","urbanization"
"85","ARM",2025,"SSP5",19684.35887,31.4302178457,75.37
"86","ARM",2030,"SSP1",24399.14842,31.4930075225,78.01
"87","ARM",2030,"SSP2",23336.19775,31.8884135765,72.94
"88","ARM",2030,"SSP3",22541.90363,32.4724582224,69.02
"89","ARM",2030,"SSP4",21979.81374,32.6903746753,78.01
"90","ARM",2030,"SSP5",25471.54783,31.5558874844,78.01
"91","ARM",2035,"SSP1",27879.23344,31.5313188448,80.26
"92","ARM",2035,"SSP2",26466.00866,32.0495600216,74.73
"93","ARM",2035,"SSP3",25322.84179,32.8753354171,69.64
"94","ARM",2035,"SSP4",24228.4219,33.1688363292,80.26
"95","ARM",2035,"SSP5",29715.94637,31.541817192,80.26
"96","ARM",2040,"SSP1",29936.70117,31.4516288399,82.2
"97","ARM",2040,"SSP2",28520.23521,32.1010197435,76.39
"98","ARM",2040,"SSP3",27033.8155,33.2743878714,70.12
"99","ARM",2040,"SSP4",25441.95721,33.6103921691,82.2
"100","ARM",2040,"SSP5",32627.60051,31.3901576988,82.2
"101","ARM",2045,"SSP1",31304.07376,31.2893157847,83.87
"102","ARM",2045,"SSP2",30059.54631,32.1324638841,77.92
"103","ARM",2045,"SSP3",28240.68907,33.6215338034,70.49
"104","ARM",2045,"SSP4",26231.40435,34.0491646965,83.87
"105","ARM",2045,"SSP5",35120.68468,31.1437925494,83.87
"106","ARM",2050,"SSP1",32599.42114,31.0512828512,85.32
"107","ARM",2050,"SSP2",31426.96892,32.1493050676,79.34
"108","ARM",2050,"SSP3",29269.53496,33.9910034673,70.79
"109","ARM",2050,"SSP4",26887.0206,34.4871668702,85.32
"110","ARM",2050,"SSP5",37835.02815,30.7974238074,85.32
"111","ARM",2055,"SSP1",34203.01457,30.8485328756,86.59
"112","ARM",2055,"SSP2",32894.06412,32.1610576661,80.65
"113","ARM",2055,"SSP3",30316.99256,34.3833930046,71.03
"114","ARM",2055,"SSP4",27577.74031,34.9627826865,86.59
"115","ARM",2055,"SSP5",41166.59823,30.4382253902,86.59
"116","ARM",2060,"SSP1",36253.88198,30.6230316781,87.7
"117","ARM",2060,"SSP2",34605.19463,32.1614119023,81.87
"118","ARM",2060,"SSP3",31491.44783,34.7908181423,71.22
"119","ARM",2060,"SSP4",28393.04102,35.464941602,87.7
"120","ARM",2060,"SSP5",45226.89823,30.0450135141,87.7
"121","ARM",2065,"SSP1",38730.10047,30.3385610335,88.69
"122","ARM",2065,"SSP2",36601.8816,32.1295710418,82.99
"123","ARM",2065,"SSP3",32870.92971,35.2066169105,71.37
"124","ARM",2065,"SSP4",29387.42241,35.9850369897,88.69
"125","ARM",2065,"SSP5",49994.13329,29.6142966867,88.69
"126","ARM",2070,"SSP1",41647.14109,30.0202575183,89.57
"127","ARM",2070,"SSP2",38909.89857,32.0998147037,84.04
"128","ARM",2070,"SSP3",34482.37988,35.6172572863,71.49
"129","ARM",2070,"SSP4",30587.02899,36.5207674572,89.57
"130","ARM",2070,"SSP5",55555.89023,29.1452617396,89.57
"131","ARM",2075,"SSP1",44992.27877,29.6829001811,90.35
"132","ARM",2075,"SSP2",41503.79687,32.0927979459,85
"133","ARM",2075,"SSP3",36298.97824,36.0256636969,71.59
"134","ARM",2075,"SSP4",31988.53099,37.084315317,90.35
"135","ARM",2075,"SSP5",61954.21416,28.661278188,90.35
"136","ARM",2080,"SSP1",48802.91538,29.3356733551,91.06
"137","ARM",2080,"SSP2",44328.52156,32.0790882838,85.9
"138","ARM",2080,"SSP3",38267.31962,36.4404747809,71.66
"139","ARM",2080,"SSP4",33576.59821,37.6923619818,91.06
"140","ARM",2080,"SSP5",69301.17618,28.1910833633,91.06
"141","ARM",2085,"SSP1",53066.18201,28.9804067324,91.69
"142","ARM",2085,"SSP2",47329.55647,32.060762115,86.74
"143","ARM",2085,"SSP3",40362.07105,36.8679788413,71.72
"144","ARM",2085,"SSP4",35327.88424,38.2654279245,91.69
"145","ARM",2085,"SSP5",77638.57281,27.7229448626,91.69
"146","ARM",2090,"SSP1",57710.73096,28.6345679948,92.27
"147","ARM",2090,"SSP2",50475.0169,32.0147894045,87.52
"148","ARM",2090,"SSP3",42595.66172,37.3115439388,71.77
"149","ARM",2090,"SSP4",37216.9664,38.8363532576,92.27
"150","ARM",2090,"SSP5",86895.89757,27.271957288,92.27
"151","ARM",2095,"SSP1",62737.76323,28.3104105558,92.79
"152","ARM",2095,"SSP2",53794.08966,31.9634469848,88.24
"153","ARM",2095,"SSP3",45005.11366,37.7626219545,71.81
"154","ARM",2095,"SSP4",39250.29453,39.4160301652,92.79
"155","ARM",2095,"SSP5",97082.85809,26.8242229018,92.79
"156","ARM",2100,"SSP1",67889.72373,27.9936906633,93.26
"157","ARM",2100,"SSP2",57322.41172,31.9168599757,88.92
"158","ARM",2100,"SSP3",47607.20969,38.2186089552,71.85
"159","ARM",2100,"SSP4",41432.71681,40.0048161524,93.26
"160","ARM",2100,"SSP5",107787.8687,26.3830892018,93.26
"161","AUS",2025,"SSP1",59103.20606,34.8210735078,91.49
"162","AUS",2025,"SSP2",59289.03889,35.0723547018,91.49
"163","AUS",2025,"SSP3",45124.91806,35.55265767,91.49
"164","AUS",2025,"SSP4",60250.78113,35.6272751675,91.49
"165","AUS",2025,"SSP5",59306.93597,34.8043629107,91.49
"166","AUS",2030,"SSP1",65473.3159,34.835929301,92.17
"167","AUS",2030,"SSP2",65363.89154,35.3351667301,92.17
"168","AUS",2030,"SSP3",45799.49188,35.9199061776,92.17
"169","AUS",2030,"SSP4",66515.23681,36.1881697215,92.17
"170","AUS",2030,"SSP5",66785.37572,34.9328911289,92.17
"171","AUS",2035,"SSP1",71346.05647,34.9074805469,92.8
"172","AUS",2035,"SSP2",70803.80025,35.5184517962,92.8
"173","AUS",2035,"SSP3",46840.94143,36.3664095542,92.8
"174","AUS",2035,"SSP4",71904.12267,36.6672265951,92.8
"175","AUS",2035,"SSP5",74371.83203,34.8996539942,92.8
"176","AUS",2040,"SSP1",76603.9742,34.8053142485,93.39
"177","AUS",2040,"SSP2",75569.41354,35.5233980071,93.39
"178","AUS",2040,"SSP3",48260.10962,36.797563416,93.39
"179","AUS",2040,"SSP4",76599.36909,37.0650272207,93.39
"180","AUS",2040,"SSP5",81633.32125,34.6731357654,93.39
"181","AUS",2045,"SSP1",81341.64512,34.5912323502,93.93
"182","AUS",2045,"SSP2",79774.70115,35.5002570376,93.93
"183","AUS",2045,"SSP3",49960.14454,37.1233749213,93.93
"184","AUS",2045,"SSP4",80871.33559,37.4427737495,93.93
"185","AUS",2045,"SSP5",88481.36496,34.441996281,93.93
"186","AUS",2050,"SSP1",85659.96011,34.2628094112,94.43
"187","AUS",2050,"SSP2",83515.25162,35.4560158211,94.43
"188","AUS",2050,"SSP3",51818.2471,37.4694471226,94.43
"189","AUS",2050,"SSP4",84839.04302,37.8059867868,94.43
"190","AUS",2050,"SSP5",94935.4989,34.1513669816,94.43
"191","AUS",2055,"SSP1",89843.1399,34.0840893809,94.89
"192","AUS",2055,"SSP2",87040.89402,35.4308905689,94.89
"193","AUS",2055,"SSP3",53808.18237,37.8381791118,94.89
"194","AUS",2055,"SSP4",88678.22089,38.3021251937,94.89
"195","AUS",2055,"SSP5",101331.37,33.893168524,94.89
"196","AUS",2060,"SSP1",94040.31291,33.9319440429,95.31
"197","AUS",2060,"SSP2",90510.88793,35.4460337934,95.31
