"","countrycode","sptemp","cdd","cddeq","clim.max"
"548","GBR","24",0,0,0.051
"549","GEO","24",26,280.980599094969,0.438857390947721
"550","GHA","24",1173,3273.59299013423,0.997917040108237
"551","GIN","24",678,2385.3100805775,0.98903312958364
"552","GMB","24",1047,3134.75733588187,0.997299565784837
"553","GNB","24",1006,3077.42433610696,0.996993954913392
"554","GNQ","24",480,1941.99214198755,0.974874494311223
"555","GRC","24",89,606.146329379741,0.694510574987199
"556","GTM","24",247,1314.3291923727,0.918743305726611
"557","GUY","24",924,2941.14161153429,0.996121401081118
"558","HKG","24",447,1871.52099042333,0.971335353146097
"559","HND","24",412,1793.70656021947,0.96684553060245
"560","HRV","24",30,301.833997694463,0.460318461042032
"561","HTI","24",556,2103.89831885929,0.981437954297147
"562","HUN","24",26,280.980599094969,0.438857390947721
"563","IDN","24",963,3009.70723691667,0.996588144543089
"564","IND","24",775,2620.5744152437,0.992936542644095
"565","IRL","24",0,0,0.051
"566","IRN","24",235,1269.04829942085,0.911563172931167
"567","IRQ","24",527,2041.41026693899,0.979137117994822
"568","ISR","24",226,1234.03143324622,0.905578385090588
"569","ITA","24",54,426.587249094229,0.572612693626258
"570","JAM","24",523,2032.89180745783,0.978802121229771
"571","JOR","24",228,1241.89078248955,0.906955950146377
"572","JPN","24",100,661.62000712315,0.724612448075419
"573","KAZ","24",66,488.570407583671,0.619387370886297
"574","KEN","24",236,1272.88332969263,0.912195129472162
"575","KGZ","24",10,197.491898141044,0.34404056569249
"576","KHM","24",1208,3304.13571397384,0.998032674485569
"577","KOR","24",97,646.547695164435,0.716740168577555
"578","KWT","24",960,3004.67940908337,0.996555914873398
"579","LAO","24",489,1960.99725403178,0.975751762518411
"580","LBN","24",93,626.38369486703,0.705855457050149
"581","LBR","24",687,2407.12654969445,0.989471539115149
"582","LKA","24",837,2763.65026420826,0.994594684590404
"583","LSO","24",7,181.830658621479,0.324545723326106
"584","LTU","24",0,0,0.051
"585","LUX","24",3,160.947926599084,0.297646965425147
"586","LVA","24",0,0,0.051
"587","MAR","24",144,876.55226032735,0.815756901741536
"588","MDA","24",31,307.045536531416,0.465552423951739
"589","MDG","24",245,1306.89455152779,0.917605722453474
"590","MDV","24",1411,3447.77064264232,0.998496075993183
"591","MEX","24",221,1214.18983757205,0.902009179849423
"592","MKD","24",10,197.491898141044,0.34404056569249
"593","MLI","24",1590,3599.07516429758,0.998866694888107
"594","MMR","24",747,2553.22313496408,0.991988471745302
"595","MNE","24",3,160.947926599084,0.297646965425147
"596","MNG","24",0,0,0.051
"597","MOZ","24",459,1897.35856014266,0.972687395712828
"598","MRT","24",1619,3630.32165466247,0.998931017454117
"599","MUS","24",429,1832.04877965532,0.969139483593097
"600","MWI","24",359,1664.35895490922,0.957773096021868
"601","MYS","24",725,2499.71846136032,0.991145416134211
"602","NAM","24",335,1599.31283112479,0.952311331863123
"603","NER","24",1606,3616.10834679171,0.99890222413709
"604","NGA","24",1024,3103.43266540713,0.997136657312226
"605","NIC","24",585,2167.95744641065,0.983533494075271
"606","NLD","24",0,0,0.051
"607","NOR","24",0,0,0.051
"608","NPL","24",356,1656.47932056744,0.957146279425584
"609","NZL","24",0,0,0.051
"610","OMN","24",637,2287.34637084024,0.986828293460664
"611","PAK","24",587,2172.43991869037,0.983670943133525
"612","PAN","24",617,2240.72513640547,0.985628417870167
"613","PER","24",222,1218.18014557232,0.902737653922974
"614","PHL","24",744,2545.94817932053,0.991878736843013
"615","PNG","24",479,1939.87766402229,0.974774949533589
"616","POL","24",3,160.947926599084,0.297646965425147
"617","PRI","24",513,2011.6731253447,0.977944101887593
"618","PRT","24",50,405.855383395214,0.555718117420841
"619","PRY","24",405,1777.54902627915,0.96582849466419
"620","PSE","24",219,1206.17640558331,0.900529718598493
"621","QAT","24",1142,3243.97171813909,0.997798405907033
"622","ROU","24",23,265.334104071869,0.422196396849114
"623","RUS","24",16,228.809933392465,0.381353378744016
"624","RWA","24",48,395.478380862526,0.547012638109674
"625","SAU","24",663,2349.15523912981,0.98826602474776
"626","SDN","24",1571,3579.58689044185,0.998824631972458
"627","SEN","24",996,3062.38902205791,0.996908237466881
"628","SLB","24",701,2441.18740528206,0.990121226634798
"629","SLE","24",896,2887.59857213608,0.995712947350603
"630","SLV","24",521,2028.63980925028,0.978632900011799
"631","SRB","24",24,270.550137472907,0.427804886040954
"632","SSD","24",1468,3488.87219901348,0.998607336937566
"633","SUR","24",1066,3159.09520824197,0.997419712674521
"634","SVK","24",4,166.16867217658,0.304470530848581
"635","SVN","24",6,176.610054729159,0.31791928842001
"636","SWE","24",0,0,0.051
"637","SWZ","24",230,1249.70573566238,0.908305805007734
"638","TCD","24",1322,3388.32651981783,0.998319253220005
"639","TGO","24",1158,3259.58311802679,0.997861748652002
"640","THA","24",1048,3136.07229509653,0.997306197924165
"641","TJK","24",114,731.328219945172,0.758269123365908
"642","TKM","24",292,1469.95386423455,0.939260448692394
"643","TLS","24",598,2197.24781418728,0.984411158247046
"644","TTO","24",913,2920.53423851557,0.99596901899221
"645","TUN","24",265,1379.22913881092,0.92802993209528
"646","TUR","24",63,473.108128115861,0.608221511767183
"647","TZA","24",363,1674.75999390646,0.958586471202208
"648","UGA","24",364,1677.34182740128,0.958785935009191
"649","UKR","24",24,270.550137472907,0.427804886040954
"650","URY","24",105,686.638716182041,0.737199707572013
"651","USA","24",145,881.281486884424,0.817379100238565
"652","UZB","24",203,1140.51681128552,0.887534966330476
"653","VCT","24",1214,3309.09527385816,0.998050835856163
"654","VNM","24",697,2431.44404435074,0.989939584805148
"655","VUT","24",468,1916.55697406799,0.973650553815439
"656","WSM","24",1124,3225.53257520617,0.997721168337335
"657","YEM","24",314,1538.33282351641,0.946551080685902
"658","ZAF","24",135,833.64674752069,0.800365263210667
"659","ZMB","24",327,1576.55313858116,0.950237861217873
"660","ZWE","24",262,1368.66247293684,0.926593684495254
