scenaio;countrycode;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
SSP1;COD;35.22;40.26;45.31;50.23;54.94;59.37;63.47;67.23;70.65;73.73;76.50;78.98;81.20;83.18;84.95;86.52;87.93;89.18;90.30
SSP1;DNK;86.87;88.00;88.90;89.63;90.23;90.73;91.16;91.52;91.84;92.11;92.35;92.56;92.75;92.91;93.06;93.19;93.31;93.42;93.51
SSP1;DOM;69.18;72.55;75.46;77.96;80.13;82.01;83.66;85.10;86.38;87.51;88.52;89.42;90.23;90.95;91.61;92.21;92.75;93.25;93.70
SSP1;ECU;66.95;70.72;73.93;76.68;79.04;81.07;82.83;84.37;85.72;86.90;87.96;88.89;89.73;90.48;91.16;91.78;92.33;92.84;93.31
SSP1;EGY;43.40;48.25;52.91;57.29;61.37;65.11;68.52;71.61;74.39;76.89;79.14;81.16;82.97;84.59;86.05;87.36;88.53;89.59;90.55
SSP1;SLV;64.31;68.72;72.43;75.55;78.19;80.42;82.34;83.99;85.42;86.67;87.76;88.73;89.59;90.36;91.05;91.68;92.24;92.75;93.21
SSP1;ERI;21.58;25.87;30.49;35.32;40.22;45.07;49.76;54.21;58.37;62.20;65.71;68.89;71.77;74.36;76.70;78.80;80.69;82.40;83.93
SSP1;EST;69.49;72.59;75.33;77.75;79.90;81.80;83.48;84.98;86.32;87.52;88.59;89.56;90.43;91.21;91.93;92.57;93.16;93.69;94.18
SSP1;ETH;16.66;20.23;24.27;28.76;33.63;38.76;44.05;49.35;54.55;59.55;64.25;68.61;72.58;76.16;79.35;82.18;84.66;86.82;88.70
SSP1;FIN;85.09;86.23;87.28;88.24;89.13;89.94;90.68;91.37;92.00;92.58;93.12;93.62;94.07;94.50;94.89;95.25;95.59;95.90;96.18
SSP1;FRA;85.25;86.43;87.48;88.42;89.26;90.01;90.70;91.31;91.88;92.39;92.86;93.29;93.69;94.05;94.39;94.70;94.99;95.26;95.52
SSP1;GAB;86.03;87.68;88.76;89.50;90.04;90.44;90.74;90.97;91.15;91.29;91.41;91.49;91.57;91.62;91.67;91.71;91.74;91.76;91.78
SSP1;GMB;58.15;61.89;65.61;69.25;72.75;76.08;79.19;82.05;84.64;86.96;89.00;90.77;92.31;93.61;94.72;95.65;96.42;97.07;97.60
SSP1;GEO;52.75;56.82;60.76;64.53;68.09;71.42;74.51;77.34;79.93;82.27;84.38;86.27;87.96;89.46;90.78;91.95;92.98;93.89;94.68
SSP1;DEU;73.85;77.89;80.98;83.40;85.33;86.90;88.20;89.29;90.21;91.01;91.69;92.30;92.83;93.30;93.72;94.10;94.44;94.75;95.03
SSP1;GHA;51.47;56.12;60.48;64.52;68.21;71.57;74.59;77.31;79.75;81.92;83.86;85.59;87.12;88.49;89.72;90.80;91.77;92.64;93.41
SSP1;GRC;61.41;65.27;68.89;72.25;75.34;78.16;80.72;83.02;85.07;86.91;88.54;89.98;91.25;92.36;93.35;94.21;94.96;95.62;96.19
SSP1;GTM;49.46;53.76;57.94;61.94;65.73;69.26;72.54;75.55;78.29;80.78;83.02;85.02;86.81;88.40;89.82;91.07;92.17;93.15;94.00
SSP1;GIN;35.36;40.11;44.87;49.54;54.05;58.32;62.32;66.01;69.41;72.50;75.30;77.83;80.11;82.15;83.99;85.63;87.11;88.43;89.61
SSP1;GNB;30.00;34.66;39.51;44.44;49.33;54.10;58.65;62.95;66.93;70.60;73.93;76.94;79.64;82.05;84.20;86.10;87.78;89.27;90.58
SSP1;HTI;52.09;60.31;66.76;71.75;75.63;78.69;81.14;83.14;84.79;86.17;87.34;88.34;89.21;89.96;90.63;91.22;91.74;92.21;92.63
