scenaio;countrycode;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
SSP1;TON;23.43;28.95;34.91;41.06;47.16;53.02;58.48;63.46;67.94;71.91;75.40;78.46;81.13;83.46;85.49;87.25;88.80;90.14;91.32
SSP1;GRD;39.29;44.25;48.99;53.43;57.53;61.26;64.64;67.68;70.40;72.85;75.03;77.00;78.76;80.35;81.79;83.08;84.26;85.33;86.30
SSP1;ABW;44.25;52.52;57.67;62.28;66.36;69.94;73.07;75.81;78.20;80.30;82.15;83.78;85.22;86.51;87.65;88.68;89.60;90.42;91.17
SSP1;VCT;49.33;54.30;58.83;62.90;66.54;69.76;72.61;75.13;77.37;79.35;81.10;82.67;84.07;85.33;86.46;87.48;88.40;89.24;90.00
SSP1;VIR;95.27;96.51;97.48;98.22;98.75;99.13;99.40;99.59;99.72;99.81;99.87;99.91;99.94;99.96;99.97;99.98;99.99;99.99;99.99
SSP1;FSM;22.66;26.92;31.42;36.03;40.62;45.10;49.36;53.36;57.07;60.47;63.58;66.39;68.94;71.25;73.33;75.21;76.92;78.47;79.88
SSP1;STP;62.23;66.26;69.78;72.84;75.51;77.83;79.86;81.64;83.21;84.60;85.84;86.94;87.93;88.82;89.63;90.36;91.02;91.62;92.17
SSP1;LCA;27.97;33.81;39.94;46.12;52.13;57.82;63.06;67.80;72.03;75.75;79.01;81.85;84.31;86.44;88.28;89.86;91.24;92.42;93.44
SSP1;WSM;20.23;24.88;29.93;35.22;40.56;45.80;50.78;55.43;59.69;63.56;67.03;70.14;72.91;75.38;77.59;79.55;81.31;82.88;84.29
SSP1;GUM;93.17;95.46;96.44;97.00;97.36;97.61;97.80;97.94;98.05;98.14;98.22;98.28;98.33;98.37;98.41;98.44;98.47;98.49;98.51
SSP1;MYT;50.08;54.89;59.30;63.28;66.84;70.02;72.84;75.35;77.58;79.56;81.32;82.90;84.31;85.57;86.72;87.75;88.68;89.52;90.29
SSP1;GUF;76.35;80.24;83.63;86.56;89.03;91.10;92.82;94.23;95.37;96.30;97.05;97.65;98.14;98.52;98.83;99.07;99.26;99.42;99.54
SSP1;VUT;25.56;31.10;36.97;42.94;48.80;54.38;59.56;64.29;68.53;72.30;75.63;78.56;81.13;83.38;85.35;87.07;88.58;89.91;91.07
SSP1;NCL;57.36;61.31;65.00;68.41;71.54;74.40;77.00;79.35;81.48;83.39;85.10;86.65;88.03;89.27;90.38;91.38;92.27;93.07;93.79
SSP1;BRB;44.47;49.58;54.39;58.82;62.86;66.50;69.76;72.67;75.27;77.58;79.64;81.48;83.12;84.59;85.91;87.09;88.16;89.13;90.00
SSP1;PYF;51.44;56.02;60.29;64.22;67.81;71.06;73.99;76.62;78.98;81.09;82.98;84.66;86.18;87.53;88.74;89.83;90.80;91.68;92.47
SSP1;BLZ;52.25;56.72;60.89;64.74;68.26;71.45;74.33;76.92;79.24;81.33;83.20;84.87;86.36;87.71;88.91;89.99;90.96;91.83;92.61
SSP1;MDV;40.10;47.73;54.62;60.63;65.73;70.02;73.62;76.65;79.21;81.38;83.25;84.85;86.24;87.46;88.53;89.47;90.31;91.06;91.73
SSP1;ISL;93.42;95.87;96.78;97.28;97.60;97.81;97.97;98.09;98.18;98.25;98.31;98.36;98.40;98.43;98.46;98.48;98.50;98.51;98.53
SSP1;BHS;84.10;86.54;88.31;89.65;90.70;91.53;92.22;92.79;93.27;93.68;94.04;94.35;94.63;94.87;95.08;95.28;95.45;95.61;95.76
SSP1;MTQ;89.05;91.06;92.47;93.51;94.31;94.94;95.46;95.88;96.24;96.54;96.81;97.03;97.24;97.41;97.57;97.72;97.84;97.96;98.07
SSP1;BRN;75.65;79.51;82.87;85.76;88.22;90.29;92.02;93.47;94.66;95.65;96.45;97.12;97.66;98.10;98.46;98.75;98.98;99.18;99.33
SSP1;MLT;94.67;96.11;97.03;97.67;98.13;98.47;98.74;98.95;99.12;99.26;99.38;99.47;99.55;99.61;99.67;99.72;99.76;99.79;99.82
SSP1;GLP;98.41;99.62;99.75;99.81;99.85;99.88;99.90;99.92;99.93;99.94;99.95;99.95;99.96;99.96;99.97;99.97;99.97;99.98;99.98
SSP1;LUX;85.19;86.67;88.04;89.29;90.44;91.47;92.42;93.27;94.03;94.71;95.33;95.87;96.36;96.79;97.17;97.51;97.81;98.08;98.31
SSP1;CPV;61.09;65.63;69.48;72.75;75.53;77.90;79.94;81.70;83.24;84.58;85.76;86.81;87.74;88.57;89.32;90.00;90.61;91.17;91.68
SSP1;SUR;69.38;72.45;75.22;77.71;79.95;81.95;83.75;85.36;86.80;88.09;89.25;90.29;91.23;92.07;92.83;93.51;94.12;94.68;95.18
SSP1;SLB;18.55;23.04;28.04;33.41;38.95;44.50;49.88;54.97;59.68;63.98;67.87;71.34;74.43;77.18;79.61;81.76;83.67;85.36;86.86
SSP1;MAC;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
SSP1;MNE;61.46;65.90;69.66;72.86;75.58;77.91;79.91;81.64;83.15;84.47;85.63;86.66;87.58;88.41;89.15;89.82;90.43;90.98;91.48
SSP1;COM;28.19;33.87;39.79;45.74;51.53;56.99;62.04;66.63;70.73;74.37;77.57;80.39;82.84;84.99;86.86;88.50;89.92;91.17;92.25
SSP1;GNQ;39.70;44.67;49.42;53.86;57.95;61.69;65.06;68.10;70.82;73.26;75.45;77.41;79.17;80.76;82.19;83.48;84.66;85.72;86.69
SSP1;BTN;34.71;41.13;47.43;53.37;58.81;63.69;68.01;71.79;75.10;77.97;80.47;82.65;84.56;86.22;87.69;88.97;90.11;91.11;92.00
SSP1;GUY;28.60;34.29;40.20;46.14;51.92;57.38;62.43;67.01;71.12;74.76;77.97;80.78;83.23;85.38;87.24;88.86;90.28;91.51;92.58
SSP1;BHR;88.61;90.38;91.71;92.75;93.58;94.26;94.82;95.30;95.71;96.06;96.37;96.64;96.88;97.09;97.29;97.46;97.62;97.76;97.89
SSP1;REU;94.01;96.68;97.56;98.03;98.32;98.53;98.68;98.79;98.88;98.96;99.02;99.07;99.11;99.15;99.18;99.21;99.23;99.25;99.27
SSP1;FJI;51.86;56.33;60.50;64.36;67.88;71.09;73.99;76.60;78.94;81.05;82.94;84.63;86.14;87.50;88.72;89.81;90.79;91.67;92.47
SSP1;DJI;76.23;80.10;83.49;86.41;88.88;90.96;92.68;94.10;95.26;96.20;96.96;97.57;98.06;98.46;98.77;99.02;99.22;99.38;99.51
SSP1;KWT;98.38;99.61;99.74;99.81;99.85;99.88;99.90;99.92;99.93;99.94;99.95;99.95;99.96;99.96;99.97;99.97;99.97;99.98;99.98
SSP1;PRI;98.79;99.72;99.80;99.85;99.87;99.89;99.91;99.92;99.93;99.94;99.94;99.95;99.95;99.95;99.96;99.96;99.96;99.97;99.97
SSP1;SGP;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
SSP1;HKG;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
SSP2;AFG;22.60;25.04;27.58;30.18;32.82;35.48;38.14;40.76;43.34;45.85;48.28;50.63;52.88;55.03;57.07;59.02;60.86;62.60;64.25
SSP2;ALB;51.91;56.03;59.57;62.60;65.19;67.42;69.33;70.98;72.41;73.66;74.75;75.72;76.57;77.33;78.00;78.60;79.14;79.63;80.07
SSP2;DZA;66.50;68.66;70.71;72.62;74.42;76.10;77.68;79.15;80.52;81.80;83.00;84.11;85.15;86.12;87.03;87.87;88.66;89.39;90.07
SSP2;AGO;58.50;62.28;65.45;68.14;70.41;72.34;74.00;75.43;76.67;77.75;78.70;79.54;80.28;80.95;81.54;82.07;82.55;82.98;83.37
SSP2;ARG;92.39;93.29;94.08;94.79;95.42;95.97;96.46;96.89;97.28;97.61;97.91;98.16;98.39;98.59;98.77;98.92;99.06;99.17;99.28
SSP2;ARM;64.19;66.63;68.90;71.00;72.94;74.73;76.39;77.92;79.34;80.65;81.87;82.99;84.04;85.00;85.90;86.74;87.52;88.24;88.92
SSP2;AUS;89.11;89.96;90.75;91.49;92.17;92.80;93.39;93.93;94.43;94.89;95.31;95.70;96.06;96.39;96.69;96.97;97.23;97.46;97.68
SSP2;AUT;67.55;69.28;70.92;72.49;73.99;75.41;76.76;78.04;79.26;80.41;81.50;82.53;83.51;84.43;85.30;86.13;86.91;87.64;88.34
SSP2;AZE;51.93;55.52;58.66;61.40;63.78;65.86;67.67;69.26;70.65;71.88;72.97;73.94;74.80;75.57;76.26;76.88;77.45;77.95;78.42
SSP2;BGD;28.07;31.15;34.27;37.38;40.45;43.44;46.32;49.08;51.71;54.20;56.53;58.73;60.78;62.70;64.49;66.16;67.71;69.16;70.51
SSP2;BLR;74.70;76.51;78.21;79.81;81.30;82.70;84.00;85.21;86.34;87.39;88.36;89.26;90.09;90.87;91.58;92.24;92.85;93.42;93.94
SSP2;BEL;97.41;97.55;97.68;97.80;97.92;98.03;98.13;98.23;98.33;98.41;98.50;98.58;98.65;98.73;98.79;98.86;98.92;98.98;99.03
SSP2;BEN;42.04;45.34;48.46;51.41;54.16;56.71;59.08;61.26;63.27;65.12;66.83;68.40;69.84;71.18;72.41;73.54;74.60;75.57;76.48
SSP2;BOL;66.55;68.50;70.35;72.10;73.75;75.31;76.78;78.17;79.47;80.69;81.84;82.92;83.94;84.89;85.78;86.62;87.41;88.15;88.85
SSP2;BIH;48.62;51.70;54.59;57.30;59.82;62.17;64.33;66.34;68.20;69.91;71.49;72.95;74.31;75.56;76.73;77.81;78.81;79.75;80.62
SSP2;BWA;61.13;64.23;66.97;69.40;71.54;73.45;75.15;76.67;78.03;79.26;80.36;81.37;82.28;83.11;83.87;84.56;85.20;85.80;86.34
SSP2;BRA;86.53;87.73;88.71;89.53;90.22;90.81;91.32;91.77;92.16;92.50;92.81;93.09;93.34;93.56;93.77;93.95;94.12;94.28;94.42
SSP2;BGR;71.46;73.44;75.24;76.87;78.36;79.71;80.94;82.07;83.11;84.06;84.94;85.75;86.50;87.19;87.84;88.44;89.00;89.52;90.00
SSP2;BFA;25.69;29.37;33.10;36.82;40.44;43.92;47.21;50.29;53.16;55.80;58.23;60.45;62.48;64.34;66.04;67.59;69.01;70.31;71.50
SSP2;BDI;11.00;12.84;14.88;17.11;19.51;22.06;24.72;27.47;30.25;33.04;35.81;38.51;41.12;43.64;46.03;48.30;50.44;52.45;54.33
SSP2;KHM;20.11;22.12;24.26;26.51;28.86;31.31;33.84;36.43;39.07;41.74;44.43;47.12;49.79;52.42;55.01;57.54;59.99;62.37;64.66
SSP2;CMR;58.40;62.03;65.09;67.68;69.88;71.76;73.37;74.76;75.97;77.02;77.95;78.76;79.49;80.13;80.71;81.23;81.69;82.11;82.49
SSP2;CAN;80.58;82.29;83.85;85.28;86.59;87.78;88.86;89.85;90.76;91.58;92.33;93.01;93.63;94.20;94.72;95.18;95.61;96.00;96.36
SSP2;CAF;38.94;42.00;44.95;47.79;50.50;53.05;55.47;57.73;59.84;61.82;63.66;65.37;66.97;68.45;69.84;71.13;72.33;73.45;74.49
SSP2;TCD;27.63;30.72;33.86;36.99;40.09;43.11;46.03;48.82;51.48;54.00;56.37;58.59;60.67;62.61;64.42;66.10;67.67;69.14;70.50
SSP2;CHL;89.00;90.24;91.35;92.34;93.23;94.02;94.73;95.35;95.91;96.40;96.83;97.22;97.55;97.85;98.11;98.35;98.55;98.73;98.88
SSP2;CHN;46.96;51.00;54.67;57.97;60.93;63.56;65.90;67.99;69.85;71.51;73.00;74.34;75.55;76.64;77.63;78.52;79.34;80.10;80.78
SSP2;COL;75.07;77.32;79.29;81.02;82.55;83.91;85.12;86.20;87.18;88.05;88.85;89.57;90.23;90.83;91.38;91.88;92.35;92.78;93.18
SSP2;COG;62.12;64.94;67.48;69.77;71.83;73.70;75.38;76.91;78.29;79.55;80.70;81.75;82.72;83.60;84.42;85.17;85.87;86.51;87.11
SSP2;CRI;64.42;66.89;69.18;71.28;73.21;74.98;76.62;78.12;79.50;80.77;81.95;83.03;84.04;84.97;85.83;86.63;87.38;88.07;88.72
SSP2;CIV;50.56;53.96;57.04;59.83;62.34;64.59;66.62;68.44;70.08;71.57;72.90;74.12;75.22;76.23;77.15;77.99;78.76;79.47;80.13
SSP2;HRV;57.74;60.98;63.82;66.29;68.44;70.34;72.00;73.46;74.76;75.92;76.95;77.87;78.70;79.45;80.13;80.75;81.32;81.83;82.30
SSP2;CUB;75.23;77.23;79.05;80.69;82.17;83.52;84.74;85.85;86.87;87.79;88.64;89.42;90.13;90.79;91.39;91.95;92.47;92.95;93.39
SSP2;CYP;70.32;72.34;74.17;75.83;77.33;78.70;79.94;81.08;82.13;83.08;83.96;84.77;85.53;86.22;86.87;87.47;88.02;88.55;89.03
SSP2;CZE;73.54;75.52;77.35;79.04;80.61;82.05;83.38;84.61;85.75;86.79;87.76;88.65;89.48;90.24;90.94;91.60;92.20;92.75;93.27
SSP2;PRK;60.22;63.36;66.08;68.42;70.46;72.23;73.78;75.14;76.34;77.40;78.35;79.19;79.95;80.64;81.26;81.82;82.33;82.80;83.23
SSP2;COD;35.22;38.44;41.60;44.66;47.60;50.39;53.03;55.52;57.85;60.02;62.05;63.93;65.68;67.31;68.82;70.22;71.52;72.74;73.87
SSP2;DNK;86.87;88.00;88.90;89.63;90.23;90.73;91.16;91.52;91.84;92.11;92.35;92.56;92.75;92.91;93.06;93.19;93.31;93.42;93.51
SSP2;DOM;69.18;71.44;73.45;75.26;76.87;78.33;79.64;80.83;81.91;82.90;83.80;84.62;85.38;86.07;86.72;87.31;87.86;88.38;88.86
SSP2;ECU;66.95;68.91;70.79;72.57;74.27;75.87;77.40;78.83;80.19;81.47;82.67;83.80;84.87;85.86;86.80;87.67;88.49;89.26;89.98
SSP2;EGY;43.40;46.61;49.68;52.59;55.34;57.90;60.30;62.53;64.60;66.51;68.29;69.94;71.46;72.88;74.19;75.41;76.54;77.60;78.58
SSP2;SLV;64.31;66.75;69.01;71.10;73.02;74.80;76.43;77.94;79.33;80.62;81.81;82.90;83.92;84.87;85.74;86.56;87.32;88.03;88.68
SSP2;ERI;21.58;23.99;26.51;29.10;31.74;34.41;37.07;39.71;42.31;44.84;47.30;49.66;51.93;54.10;56.17;58.13;59.98;61.74;63.40
SSP2;EST;69.49;71.23;72.87;74.41;75.87;77.24;78.53;79.74;80.87;81.94;82.95;83.89;84.78;85.62;86.40;87.14;87.84;88.50;89.11
SSP2;ETH;16.66;18.71;20.91;23.24;25.69;28.23;30.86;33.54;36.25;38.96;41.67;44.34;46.95;49.50;51.97;54.35;56.64;58.83;60.92
SSP2;FIN;85.09;86.23;87.28;88.24;89.13;89.94;90.68;91.37;92.00;92.58;93.12;93.62;94.07;94.50;94.89;95.25;95.59;95.90;96.18
SSP2;FRA;85.25;86.43;87.48;88.42;89.26;90.01;90.70;91.31;91.88;92.39;92.86;93.29;93.69;94.05;94.39;94.70;94.99;95.26;95.52
SSP2;GAB;86.03;87.68;88.76;89.50;90.04;90.44;90.74;90.97;91.15;91.29;91.41;91.49;91.57;91.62;91.67;91.71;91.74;91.76;91.78
SSP2;GMB;58.15;61.88;65.01;67.64;69.86;71.74;73.35;74.74;75.93;76.98;77.89;78.69;79.40;80.03;80.59;81.09;81.54;81.94;82.31
SSP2;GEO;52.75;55.84;58.66;61.21;63.51;65.59;67.47;69.17;70.71;72.11;73.38;74.54;75.59;76.56;77.44;78.26;79.01;79.70;80.35
SSP2;DEU;73.85;75.82;77.65;79.34;80.90;82.35;83.69;84.92;86.06;87.11;88.08;88.97;89.80;90.56;91.26;91.91;92.51;93.06;93.58
SSP2;GHA;51.47;54.79;57.79;60.48;62.89;65.05;66.98;68.71;70.26;71.66;72.92;74.06;75.09;76.03;76.89;77.68;78.39;79.05;79.66
SSP2;GRC;61.41;64.25;66.81;69.12;71.19;73.06;74.75;76.28;77.67;78.93;80.07;81.12;82.08;82.97;83.78;84.53;85.22;85.87;86.46
SSP2;GTM;49.46;52.67;55.62;58.33;60.80;63.05;65.10;66.96;68.65;70.19;71.59;72.88;74.05;75.13;76.12;77.03;77.87;78.65;79.37
SSP2;GIN;35.36;38.52;41.62;44.64;47.55;50.33;52.97;55.46;57.81;60.01;62.06;63.98;65.77;67.44;68.99;70.44;71.78;73.04;74.21
SSP2;GNB;30.00;32.83;35.73;38.65;41.58;44.49;47.36;50.17;52.90;55.54;58.08;60.51;62.83;65.03;67.12;69.09;70.95;72.70;74.35
SSP2;HTI;52.09;56.68;60.63;63.99;66.86;69.31;71.41;73.22;74.79;76.16;77.36;78.42;79.35;80.18;80.93;81.59;82.19;82.74;83.23
SSP2;HND;51.60;54.82;57.76;60.44;62.87;65.08;67.08;68.89;70.54;72.04;73.40;74.65;75.78;76.83;77.79;78.67;79.48;80.24;80.93
SSP2;HUN;68.10;69.81;71.45;73.00;74.48;75.89;77.22;78.48;79.67;80.80;81.87;82.88;83.84;84.74;85.59;86.39;87.15;87.87;88.54
SSP2;IND;30.01;32.84;35.73;38.66;41.59;44.50;47.37;50.18;52.91;55.55;58.09;60.52;62.84;65.04;67.12;69.10;70.96;72.71;74.36
SSP2;IDN;44.28;47.62;50.75;53.66;56.35;58.82;61.09;63.17;65.06;66.80;68.38;69.84;71.17;72.39;73.52;74.55;75.51;76.39;77.21
SSP2;IRN;70.75;72.89;74.79;76.50;78.04;79.43;80.68;81.82;82.85;83.80;84.66;85.45;86.18;86.85;87.47;88.05;88.58;89.08;89.55
SSP2;IRQ;66.17;68.77;71.11;73.20;75.09;76.79;78.32;79.71;80.97;82.12;83.16;84.12;85.00;85.80;86.55;87.23;87.87;88.46;89.01
SSP2;IRL;61.94;64.79;67.35;69.66;71.73;73.61;75.30;76.83;78.22;79.48;80.63;81.68;82.64;83.52;84.34;85.09;85.78;86.43;87.03
SSP2;ISR;91.85;92.02;92.19;92.35;92.51;92.66;92.81;92.96;93.11;93.25;93.39;93.53;93.67;93.80;93.93;94.06;94.18;94.31;94.43
SSP2;ITA;68.36;70.02;71.62;73.16;74.64;76.05;77.41;78.70;79.93;81.10;82.22;83.27;84.28;85.22;86.12;86.97;87.78;88.53;89.25
SSP2;JAM;52.01;55.58;58.70;61.42;63.78;65.84;67.63;69.19;70.57;71.78;72.85;73.81;74.65;75.41;76.09;76.70;77.25;77.75;78.20
SSP2;JPN;66.83;68.81;70.69;72.47;74.16;75.76;77.28;78.70;80.05;81.31;82.50;83.62;84.67;85.65;86.58;87.44;88.25;89.01;89.72
SSP2;JOR;78.53;80.52;82.25;83.77;85.10;86.28;87.32;88.26;89.10;89.85;90.54;91.15;91.72;92.23;92.70;93.14;93.54;93.90;94.24
SSP2;KAZ;58.51;61.98;64.97;67.53;69.74;71.65;73.31;74.76;76.04;77.16;78.15;79.04;79.83;80.54;81.18;81.76;82.29;82.77;83.20
SSP2;KEN;22.18;24.71;27.33;30.01;32.73;35.45;38.15;40.81;43.39;45.90;48.31;50.61;52.81;54.89;56.86;58.72;60.47;62.12;63.67
SSP2;KGZ;34.55;37.54;40.52;43.46;46.33;49.11;51.79;54.36;56.81;59.13;61.33;63.40;65.36;67.19;68.91;70.53;72.05;73.47;74.80
SSP2;LAO;33.18;37.09;40.90;44.55;47.99;51.19;54.16;56.88;59.37;61.64;63.71;65.59;67.30;68.86;70.28;71.58;72.77;73.86;74.86
SSP2;LVA;67.72;69.44;71.08;72.63;74.11;75.52;76.85;78.10;79.30;80.42;81.49;82.50;83.45;84.35;85.20;86.00;86.76;87.48;88.15
SSP2;LBN;87.24;88.26;89.10;89.80;90.40;90.91;91.36;91.75;92.09;92.39;92.66;92.91;93.13;93.32;93.50;93.67;93.82;93.96;94.08
SSP2;LSO;26.88;30.38;33.93;37.48;40.95;44.31;47.52;50.56;53.41;56.07;58.54;60.83;62.94;64.89;66.68;68.34;69.86;71.27;72.57
SSP2;LBR;47.82;51.28;54.48;57.42;60.10;62.54;64.75;66.76;68.59;70.25;71.76;73.14;74.39;75.55;76.60;77.57;78.46;79.29;80.05
SSP2;LBY;77.89;79.94;81.72;83.27;84.64;85.84;86.91;87.86;88.72;89.49;90.18;90.81;91.38;91.91;92.39;92.83;93.23;93.61;93.95
SSP2;LTU;66.98;68.88;70.68;72.40;74.03;75.57;77.04;78.42;79.73;80.96;82.12;83.21;84.24;85.21;86.12;86.98;87.78;88.54;89.25
SSP2;MDG;30.19;33.20;36.24;39.28;42.28;45.22;48.07;50.81;53.44;55.95;58.32;60.56;62.68;64.66;66.53;68.28;69.91;71.45;72.89
SSP2;MWI;19.77;21.79;23.94;26.21;28.58;31.05;33.60;36.22;38.88;41.58;44.29;47.00;49.69;52.34;54.94;57.48;59.95;62.33;64.62
SSP2;MYS;72.17;74.02;75.79;77.48;79.09;80.62;82.06;83.42;84.69;85.89;87.01;88.05;89.02;89.92;90.76;91.54;92.25;92.91;93.52
SSP2;MLI;35.86;39.33;42.70;45.93;48.99;51.86;54.54;57.03;59.33;61.46;63.41;65.22;66.87;68.40;69.81;71.11;72.31;73.41;74.44
SSP2;MRT;41.43;44.60;47.61;50.43;53.06;55.50;57.76;59.85;61.76;63.52;65.15;66.64;68.01;69.27;70.44;71.52;72.51;73.43;74.29
SSP2;MUS;41.84;45.08;48.14;50.99;53.65;56.10;58.35;60.42;62.31;64.05;65.64;67.10;68.44;69.67;70.80;71.84;72.80;73.69;74.51
SSP2;MEX;77.83;79.60;81.21;82.69;84.04;85.28;86.41;87.45;88.40;89.27;90.08;90.81;91.49;92.11;92.69;93.22;93.71;94.16;94.58
SSP2;MNG;62.03;64.87;67.43;69.74;71.82;73.69;75.38;76.91;78.30;79.56;80.71;81.76;82.73;83.61;84.43;85.18;85.87;86.52;87.11
SSP2;MAR;58.24;61.60;64.49;66.98;69.12;70.97;72.58;73.98;75.21;76.30;77.26;78.12;78.89;79.57;80.19;80.75;81.25;81.71;82.13
SSP2;MOZ;38.43;41.91;45.24;48.37;51.31;54.03;56.54;58.86;60.98;62.92;64.70;66.33;67.83;69.20;70.46;71.62;72.68;73.67;74.58
SSP2;MMR;33.65;36.81;39.93;42.98;45.92;48.73;51.40;53.92;56.29;58.51;60.58;62.52;64.32;65.99;67.55;69.00;70.35;71.60;72.78
SSP2;NAM;37.98;41.11;44.16;47.11;49.93;52.61;55.14;57.52;59.76;61.85;63.80;65.62;67.32;68.90;70.37;71.74;73.02;74.21;75.32
SSP2;NPL;18.62;20.76;23.03;25.43;27.93;30.52;33.18;35.89;38.62;41.36;44.07;46.75;49.38;51.94;54.42;56.82;59.12;61.33;63.43
SSP2;NLD;82.86;84.22;85.52;86.75;87.91;89.00;90.02;90.97;91.84;92.65;93.39;94.06;94.68;95.24;95.75;96.20;96.62;96.99;97.32
SSP2;NZL;86.20;87.36;88.36;89.21;89.95;90.60;91.17;91.68;92.13;92.54;92.91;93.24;93.54;93.82;94.08;94.32;94.53;94.74;94.92
SSP2;NIC;57.32;60.48;63.17;65.46;67.42;69.10;70.55;71.80;72.89;73.84;74.68;75.41;76.07;76.64;77.16;77.62;78.03;78.40;78.73
SSP2;NER;17.11;19.04;21.11;23.30;25.61;28.01;30.50;33.05;35.64;38.27;40.90;43.52;46.12;48.67;51.17;53.60;55.95;58.22;60.41
SSP2;NGA;49.80;53.15;56.22;59.03;61.58;63.90;66.00;67.91;69.64;71.21;72.65;73.95;75.14;76.23;77.24;78.16;79.01;79.79;80.52
SSP2;NOR;79.41;81.46;83.17;84.61;85.85;86.91;87.84;88.65;89.37;90.00;90.57;91.09;91.55;91.97;92.35;92.70;93.02;93.32;93.59
SSP2;PSE;74.14;76.08;77.87;79.53;81.05;82.46;83.76;84.96;86.07;87.09;88.04;88.91;89.71;90.46;91.14;91.78;92.36;92.91;93.41
SSP2;OMN;73.04;74.93;76.72;78.41;80.00;81.50;82.90;84.21;85.43;86.57;87.63;88.62;89.53;90.38;91.16;91.88;92.55;93.16;93.73
SSP2;PAK;35.90;38.96;41.97;44.90;47.73;50.44;53.02;55.46;57.77;59.94;61.98;63.88;65.66;67.33;68.89;70.34;71.70;72.97;74.16
SSP2;PAN;74.80;76.99;78.94;80.66;82.20;83.58;84.82;85.93;86.93;87.84;88.66;89.42;90.10;90.73;91.31;91.84;92.33;92.78;93.20
SSP2;PNG;12.53;14.41;16.46;18.67;21.03;23.51;26.08;28.71;31.38;34.04;36.68;39.27;41.78;44.20;46.52;48.74;50.84;52.82;54.69
SSP2;PRY;61.50;64.34;66.89;69.20;71.27;73.14;74.83;76.36;77.75;79.01;80.16;81.20;82.17;83.05;83.86;84.61;85.31;85.95;86.55
SSP2;PER;76.92;78.64;80.23;81.70;83.05;84.30;85.46;86.52;87.50;88.41;89.25;90.03;90.74;91.40;92.02;92.59;93.11;93.60;94.05
SSP2;PHL;48.90;52.06;54.99;57.70;60.19;62.48;64.57;66.49;68.24;69.85;71.32;72.67;73.91;75.05;76.11;77.08;77.98;78.82;79.59
SSP2;POL;60.96;63.80;66.36;68.66;70.74;72.61;74.29;75.82;77.21;78.47;79.61;80.66;81.62;82.50;83.32;84.07;84.76;85.40;86.00
SSP2;PRT;60.70;63.57;66.16;68.49;70.59;72.48;74.19;75.74;77.14;78.41;79.57;80.63;81.61;82.50;83.32;84.08;84.78;85.43;86.03
SSP2;QAT;95.83;96.20;96.55;96.86;97.14;97.40;97.64;97.85;98.05;98.23;98.39;98.54;98.67;98.80;98.91;99.01;99.10;99.18;99.26
SSP2;KOR;82.96;84.32;85.62;86.85;88.01;89.10;90.12;91.06;91.94;92.74;93.48;94.16;94.77;95.33;95.83;96.29;96.70;97.06;97.39
SSP2;MDA;46.95;50.26;53.39;56.32;59.05;61.59;63.93;66.09;68.08;69.91;71.60;73.16;74.60;75.93;77.15;78.29;79.34;80.32;81.23
SSP2;ROU;57.47;60.63;63.32;65.61;67.57;69.25;70.69;71.95;73.04;73.99;74.82;75.56;76.21;76.79;77.31;77.77;78.18;78.55;78.88
SSP2;RUS;73.17;75.23;77.13;78.86;80.45;81.90;83.23;84.45;85.58;86.61;87.55;88.42;89.23;89.97;90.65;91.29;91.87;92.41;92.92
SSP2;RWA;18.85;20.97;23.23;25.62;28.12;30.71;33.39;36.12;38.89;41.68;44.46;47.22;49.93;52.59;55.18;57.68;60.09;62.41;64.63
SSP2;SAU;82.07;83.51;84.85;86.10;87.26;88.34;89.34;90.26;91.11;91.89;92.61;93.27;93.88;94.43;94.94;95.40;95.82;96.20;96.55
SSP2;SEN;42.38;45.69;48.82;51.77;54.52;57.07;59.42;61.60;63.60;65.43;67.13;68.68;70.11;71.43;72.65;73.77;74.81;75.78;76.67
SSP2;SRB;56.06;59.26;62.04;64.46;66.57;68.41;70.02;71.44;72.70;73.80;74.79;75.67;76.46;77.17;77.81;78.39;78.91;79.39;79.82
SSP2;SLE;38.40;41.43;44.39;47.26;50.02;52.66;55.16;57.52;59.75;61.84;63.81;65.65;67.36;68.97;70.47;71.88;73.19;74.42;75.57
SSP2;SVK;54.97;58.16;60.93;63.34;65.42;67.23;68.81;70.20;71.41;72.48;73.43;74.27;75.02;75.70;76.30;76.84;77.33;77.77;78.17
SSP2;SVN;49.51;52.76;55.75;58.47;60.93;63.16;65.18;67.01;68.66;70.16;71.53;72.77;73.90;74.93;75.88;76.75;77.55;78.29;78.97
SSP2;SOM;37.45;40.42;43.34;46.18;48.92;51.54;54.04;56.42;58.66;60.78;62.76;64.63;66.38;68.02;69.55;70.99;72.33;73.59;74.77
