regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
1,ABW,Aruba,future,rcp26,SSP1,2020,mean,CDD,nan
1,ABW,Aruba,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
2,AFG,Afghanistan,future,rcp26,SSP1,2020,mean,CDD,731
2,AFG,Afghanistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,518
3,AGO,Angola,future,rcp26,SSP1,2020,mean,CDD,621
3,AGO,Angola,future,rcp26,SSP1,2020,PopWeightAv,CDD,522
4,ALB,Albania,future,rcp26,SSP1,2020,mean,CDD,197
4,ALB,Albania,future,rcp26,SSP1,2020,PopWeightAv,CDD,251
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,mean,CDD,2547
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,PopWeightAv,CDD,2487
6,ARG,Argentina,future,rcp26,SSP1,2020,mean,CDD,294
6,ARG,Argentina,future,rcp26,SSP1,2020,PopWeightAv,CDD,333
7,ARM,Armenia,future,rcp26,SSP1,2020,mean,CDD,78
7,ARM,Armenia,future,rcp26,SSP1,2020,PopWeightAv,CDD,92
8,AUS,Australia,future,rcp26,SSP1,2020,mean,CDD,1254
8,AUS,Australia,future,rcp26,SSP1,2020,PopWeightAv,CDD,267
9,AUT,Austria,future,rcp26,SSP1,2020,mean,CDD,43
9,AUT,Austria,future,rcp26,SSP1,2020,PopWeightAv,CDD,82
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,mean,CDD,386
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,PopWeightAv,CDD,445
11,BDI,Burundi,future,rcp26,SSP1,2020,mean,CDD,208
11,BDI,Burundi,future,rcp26,SSP1,2020,PopWeightAv,CDD,198
12,BEL,Belgium,future,rcp26,SSP1,2020,mean,CDD,36
12,BEL,Belgium,future,rcp26,SSP1,2020,PopWeightAv,CDD,33
13,BEN,Benin,future,rcp26,SSP1,2020,mean,CDD,2465
13,BEN,Benin,future,rcp26,SSP1,2020,PopWeightAv,CDD,2394
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,mean,CDD,2807
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,PopWeightAv,CDD,2797
15,BGD,Bangladesh,future,rcp26,SSP1,2020,mean,CDD,1787
15,BGD,Bangladesh,future,rcp26,SSP1,2020,PopWeightAv,CDD,1802
16,BGR,Bulgaria,future,rcp26,SSP1,2020,mean,CDD,192
16,BGR,Bulgaria,future,rcp26,SSP1,2020,PopWeightAv,CDD,195
17,BHR,Bahrain,future,rcp26,SSP1,2020,mean,CDD,nan
17,BHR,Bahrain,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
18,BHS,Bahamas,future,rcp26,SSP1,2020,mean,CDD,1340
18,BHS,Bahamas,future,rcp26,SSP1,2020,PopWeightAv,CDD,1554
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,mean,CDD,124
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,PopWeightAv,CDD,126
20,BLR,Belarus,future,rcp26,SSP1,2020,mean,CDD,72
20,BLR,Belarus,future,rcp26,SSP1,2020,PopWeightAv,CDD,74
21,BLZ,Belize,future,rcp26,SSP1,2020,mean,CDD,1648
21,BLZ,Belize,future,rcp26,SSP1,2020,PopWeightAv,CDD,1670
22,BOL,Bolivia,future,rcp26,SSP1,2020,mean,CDD,1120
22,BOL,Bolivia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1044
23,BRA,Brazil,future,rcp26,SSP1,2020,mean,CDD,1742
23,BRA,Brazil,future,rcp26,SSP1,2020,PopWeightAv,CDD,1006
24,BRB,Barbados,future,rcp26,SSP1,2020,mean,CDD,nan
24,BRB,Barbados,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,mean,CDD,1853
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,PopWeightAv,CDD,1982
26,BTN,Bhutan,future,rcp26,SSP1,2020,mean,CDD,69
26,BTN,Bhutan,future,rcp26,SSP1,2020,PopWeightAv,CDD,545
27,BWA,Botswana,future,rcp26,SSP1,2020,mean,CDD,1124
27,BWA,Botswana,future,rcp26,SSP1,2020,PopWeightAv,CDD,992
28,CAF,Central African Republic,future,rcp26,SSP1,2020,mean,CDD,1575
28,CAF,Central African Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,1488
29,CAN,Canada,future,rcp26,SSP1,2020,mean,CDD,9
29,CAN,Canada,future,rcp26,SSP1,2020,PopWeightAv,CDD,61
30,CHE,Switzerland,future,rcp26,SSP1,2020,mean,CDD,19
30,CHE,Switzerland,future,rcp26,SSP1,2020,PopWeightAv,CDD,39
31,CHL,Chile,future,rcp26,SSP1,2020,mean,CDD,0
31,CHL,Chile,future,rcp26,SSP1,2020,PopWeightAv,CDD,3
32,CHN,China,future,rcp26,SSP1,2020,mean,CDD,249
32,CHN,China,future,rcp26,SSP1,2020,PopWeightAv,CDD,553
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,mean,CDD,2021
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,PopWeightAv,CDD,2010
