regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
36,COG,Congo,future,rcp26,SSP1,2020,PopWeightAv,CDD,807
37,COL,Colombia,future,rcp26,SSP1,2020,mean,CDD,937
37,COL,Colombia,future,rcp26,SSP1,2020,PopWeightAv,CDD,876
38,COM,Comoros,future,rcp26,SSP1,2020,mean,CDD,455
38,COM,Comoros,future,rcp26,SSP1,2020,PopWeightAv,CDD,455
39,CPV,Cape Verde,future,rcp26,SSP1,2020,mean,CDD,nan
39,CPV,Cape Verde,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
40,CRI,Costa Rica,future,rcp26,SSP1,2020,mean,CDD,804
40,CRI,Costa Rica,future,rcp26,SSP1,2020,PopWeightAv,CDD,571
41,CUB,Cuba,future,rcp26,SSP1,2020,mean,CDD,969
41,CUB,Cuba,future,rcp26,SSP1,2020,PopWeightAv,CDD,956
42,CYP,Cyprus,future,rcp26,SSP1,2020,mean,CDD,441
42,CYP,Cyprus,future,rcp26,SSP1,2020,PopWeightAv,CDD,487
43,CZE,Czech Republic,future,rcp26,SSP1,2020,mean,CDD,20
43,CZE,Czech Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,23
44,DEU,Germany,future,rcp26,SSP1,2020,mean,CDD,19
44,DEU,Germany,future,rcp26,SSP1,2020,PopWeightAv,CDD,21
45,DJI,Djibouti,future,rcp26,SSP1,2020,mean,CDD,1885
45,DJI,Djibouti,future,rcp26,SSP1,2020,PopWeightAv,CDD,1783
46,DNK,Denmark,future,rcp26,SSP1,2020,mean,CDD,3
46,DNK,Denmark,future,rcp26,SSP1,2020,PopWeightAv,CDD,2
47,DOM,Dominican Republic,future,rcp26,SSP1,2020,mean,CDD,664
47,DOM,Dominican Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,640
48,DZA,Algeria,future,rcp26,SSP1,2020,mean,CDD,1503
48,DZA,Algeria,future,rcp26,SSP1,2020,PopWeightAv,CDD,445
49,ECU,Ecuador,future,rcp26,SSP1,2020,mean,CDD,461
49,ECU,Ecuador,future,rcp26,SSP1,2020,PopWeightAv,CDD,734
50,EGY,Egypt,future,rcp26,SSP1,2020,mean,CDD,1135
50,EGY,Egypt,future,rcp26,SSP1,2020,PopWeightAv,CDD,739
51,ERI,Eritrea,future,rcp26,SSP1,2020,mean,CDD,1518
51,ERI,Eritrea,future,rcp26,SSP1,2020,PopWeightAv,CDD,806
52,ESP,Spain,future,rcp26,SSP1,2020,mean,CDD,154
52,ESP,Spain,future,rcp26,SSP1,2020,PopWeightAv,CDD,179
53,EST,Estonia,future,rcp26,SSP1,2020,mean,CDD,6
