regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
1,ABW,Aruba,future,rcp26,SSP1,2020,mean,CDD,nan
1,ABW,Aruba,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
2,AFG,Afghanistan,future,rcp26,SSP1,2020,mean,CDD,1245
2,AFG,Afghanistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,952
3,AGO,Angola,future,rcp26,SSP1,2020,mean,CDD,1839
3,AGO,Angola,future,rcp26,SSP1,2020,PopWeightAv,CDD,1688
4,ALB,Albania,future,rcp26,SSP1,2020,mean,CDD,544
4,ALB,Albania,future,rcp26,SSP1,2020,PopWeightAv,CDD,647
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,mean,CDD,3867
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,PopWeightAv,CDD,3791
6,ARG,Argentina,future,rcp26,SSP1,2020,mean,CDD,717
6,ARG,Argentina,future,rcp26,SSP1,2020,PopWeightAv,CDD,907
7,ARM,Armenia,future,rcp26,SSP1,2020,mean,CDD,289
7,ARM,Armenia,future,rcp26,SSP1,2020,PopWeightAv,CDD,332
8,AUS,Australia,future,rcp26,SSP1,2020,mean,CDD,2179
8,AUS,Australia,future,rcp26,SSP1,2020,PopWeightAv,CDD,748
9,AUT,Austria,future,rcp26,SSP1,2020,mean,CDD,175
9,AUT,Austria,future,rcp26,SSP1,2020,PopWeightAv,CDD,280
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,mean,CDD,837
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,PopWeightAv,CDD,936
11,BDI,Burundi,future,rcp26,SSP1,2020,mean,CDD,1396
11,BDI,Burundi,future,rcp26,SSP1,2020,PopWeightAv,CDD,1339
12,BEL,Belgium,future,rcp26,SSP1,2020,mean,CDD,192
12,BEL,Belgium,future,rcp26,SSP1,2020,PopWeightAv,CDD,189
13,BEN,Benin,future,rcp26,SSP1,2020,mean,CDD,3926
13,BEN,Benin,future,rcp26,SSP1,2020,PopWeightAv,CDD,3855
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,mean,CDD,4267
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,PopWeightAv,CDD,4256
15,BGD,Bangladesh,future,rcp26,SSP1,2020,mean,CDD,3118
15,BGD,Bangladesh,future,rcp26,SSP1,2020,PopWeightAv,CDD,3130
16,BGR,Bulgaria,future,rcp26,SSP1,2020,mean,CDD,547
16,BGR,Bulgaria,future,rcp26,SSP1,2020,PopWeightAv,CDD,549
17,BHR,Bahrain,future,rcp26,SSP1,2020,mean,CDD,nan
17,BHR,Bahrain,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
18,BHS,Bahamas,future,rcp26,SSP1,2020,mean,CDD,2520
18,BHS,Bahamas,future,rcp26,SSP1,2020,PopWeightAv,CDD,2960
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,mean,CDD,389
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,PopWeightAv,CDD,393
20,BLR,Belarus,future,rcp26,SSP1,2020,mean,CDD,272
20,BLR,Belarus,future,rcp26,SSP1,2020,PopWeightAv,CDD,277
21,BLZ,Belize,future,rcp26,SSP1,2020,mean,CDD,3086
21,BLZ,Belize,future,rcp26,SSP1,2020,PopWeightAv,CDD,3108
22,BOL,Bolivia,future,rcp26,SSP1,2020,mean,CDD,2099
22,BOL,Bolivia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1834
23,BRA,Brazil,future,rcp26,SSP1,2020,mean,CDD,3122
23,BRA,Brazil,future,rcp26,SSP1,2020,PopWeightAv,CDD,2197
24,BRB,Barbados,future,rcp26,SSP1,2020,mean,CDD,nan
24,BRB,Barbados,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,mean,CDD,3314
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,PopWeightAv,CDD,3443
26,BTN,Bhutan,future,rcp26,SSP1,2020,mean,CDD,274
26,BTN,Bhutan,future,rcp26,SSP1,2020,PopWeightAv,CDD,1346
27,BWA,Botswana,future,rcp26,SSP1,2020,mean,CDD,2176
27,BWA,Botswana,future,rcp26,SSP1,2020,PopWeightAv,CDD,2004
28,CAF,Central African Republic,future,rcp26,SSP1,2020,mean,CDD,3034
28,CAF,Central African Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,2947
29,CAN,Canada,future,rcp26,SSP1,2020,mean,CDD,47
29,CAN,Canada,future,rcp26,SSP1,2020,PopWeightAv,CDD,257
30,CHE,Switzerland,future,rcp26,SSP1,2020,mean,CDD,102
30,CHE,Switzerland,future,rcp26,SSP1,2020,PopWeightAv,CDD,185
31,CHL,Chile,future,rcp26,SSP1,2020,mean,CDD,28
31,CHL,Chile,future,rcp26,SSP1,2020,PopWeightAv,CDD,116
32,CHN,China,future,rcp26,SSP1,2020,mean,CDD,576
32,CHN,China,future,rcp26,SSP1,2020,PopWeightAv,CDD,1153
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,mean,CDD,3482
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,PopWeightAv,CDD,3471
