regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
1,ABW,Aruba,future,rcp26,SSP1,2020,mean,CDD,nan
1,ABW,Aruba,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
2,AFG,Afghanistan,future,rcp26,SSP1,2020,mean,CDD,967
2,AFG,Afghanistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,705
3,AGO,Angola,future,rcp26,SSP1,2020,mean,CDD,1179
3,AGO,Angola,future,rcp26,SSP1,2020,PopWeightAv,CDD,1036
4,ALB,Albania,future,rcp26,SSP1,2020,mean,CDD,344
4,ALB,Albania,future,rcp26,SSP1,2020,PopWeightAv,CDD,422
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,mean,CDD,3175
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,PopWeightAv,CDD,3103
6,ARG,Argentina,future,rcp26,SSP1,2020,mean,CDD,478
6,ARG,Argentina,future,rcp26,SSP1,2020,PopWeightAv,CDD,580
7,ARM,Armenia,future,rcp26,SSP1,2020,mean,CDD,160
7,ARM,Armenia,future,rcp26,SSP1,2020,PopWeightAv,CDD,187
8,AUS,Australia,future,rcp26,SSP1,2020,mean,CDD,1687
8,AUS,Australia,future,rcp26,SSP1,2020,PopWeightAv,CDD,469
9,AUT,Austria,future,rcp26,SSP1,2020,mean,CDD,93
9,AUT,Austria,future,rcp26,SSP1,2020,PopWeightAv,CDD,159
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,mean,CDD,589
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,PopWeightAv,CDD,668
11,BDI,Burundi,future,rcp26,SSP1,2020,mean,CDD,712
11,BDI,Burundi,future,rcp26,SSP1,2020,PopWeightAv,CDD,666
12,BEL,Belgium,future,rcp26,SSP1,2020,mean,CDD,90
12,BEL,Belgium,future,rcp26,SSP1,2020,PopWeightAv,CDD,86
13,BEN,Benin,future,rcp26,SSP1,2020,mean,CDD,3195
13,BEN,Benin,future,rcp26,SSP1,2020,PopWeightAv,CDD,3124
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,mean,CDD,3537
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,PopWeightAv,CDD,3526
15,BGD,Bangladesh,future,rcp26,SSP1,2020,mean,CDD,2423
15,BGD,Bangladesh,future,rcp26,SSP1,2020,PopWeightAv,CDD,2436
16,BGR,Bulgaria,future,rcp26,SSP1,2020,mean,CDD,344
16,BGR,Bulgaria,future,rcp26,SSP1,2020,PopWeightAv,CDD,346
17,BHR,Bahrain,future,rcp26,SSP1,2020,mean,CDD,nan
17,BHR,Bahrain,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
18,BHS,Bahamas,future,rcp26,SSP1,2020,mean,CDD,1920
18,BHS,Bahamas,future,rcp26,SSP1,2020,PopWeightAv,CDD,2242
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,mean,CDD,233
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,PopWeightAv,CDD,236
20,BLR,Belarus,future,rcp26,SSP1,2020,mean,CDD,148
20,BLR,Belarus,future,rcp26,SSP1,2020,PopWeightAv,CDD,151
21,BLZ,Belize,future,rcp26,SSP1,2020,mean,CDD,2360
21,BLZ,Belize,future,rcp26,SSP1,2020,PopWeightAv,CDD,2383
22,BOL,Bolivia,future,rcp26,SSP1,2020,mean,CDD,1590
22,BOL,Bolivia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1407
23,BRA,Brazil,future,rcp26,SSP1,2020,mean,CDD,2422
23,BRA,Brazil,future,rcp26,SSP1,2020,PopWeightAv,CDD,1564
24,BRB,Barbados,future,rcp26,SSP1,2020,mean,CDD,nan
24,BRB,Barbados,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,mean,CDD,2584
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,PopWeightAv,CDD,2712
26,BTN,Bhutan,future,rcp26,SSP1,2020,mean,CDD,145
26,BTN,Bhutan,future,rcp26,SSP1,2020,PopWeightAv,CDD,907
27,BWA,Botswana,future,rcp26,SSP1,2020,mean,CDD,1615
27,BWA,Botswana,future,rcp26,SSP1,2020,PopWeightAv,CDD,1463
28,CAF,Central African Republic,future,rcp26,SSP1,2020,mean,CDD,2304
28,CAF,Central African Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,2217
29,CAN,Canada,future,rcp26,SSP1,2020,mean,CDD,22
29,CAN,Canada,future,rcp26,SSP1,2020,PopWeightAv,CDD,137
30,CHE,Switzerland,future,rcp26,SSP1,2020,mean,CDD,48
30,CHE,Switzerland,future,rcp26,SSP1,2020,PopWeightAv,CDD,90
31,CHL,Chile,future,rcp26,SSP1,2020,mean,CDD,5
31,CHL,Chile,future,rcp26,SSP1,2020,PopWeightAv,CDD,29
32,CHN,China,future,rcp26,SSP1,2020,mean,CDD,394
32,CHN,China,future,rcp26,SSP1,2020,PopWeightAv,CDD,827
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,mean,CDD,2751
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,PopWeightAv,CDD,2741
